,start_time,away_team,home_team,away_team_score,home_team_score,home_team_abbv,home_city,home_state,index_team,season_end_year,lat,lng,Prev_lat,Prev_lng,Dist_Km,Dist_Mi,code
42,2017-01-20 21:00:00+00:00,CHICAGO_BULLS,ATLANTA_HAWKS,93,102,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,42.3834,-83.1024,965.480802089577,603.4255013059856,201701200ATL
43,2017-01-21 20:00:00+00:00,PHILADELPHIA_76ERS,ATLANTA_HAWKS,93,110,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,33.7627,-84.4225,0.0,0.0,201701210ATL
44,2017-01-23 20:30:00+00:00,LOS_ANGELES_CLIPPERS,ATLANTA_HAWKS,115,105,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,33.7627,-84.4225,0.0,0.0,201701230ATL
45,2017-01-25 21:00:00+00:00,ATLANTA_HAWKS,CHICAGO_BULLS,119,114,CHI,Chicago,Illinois,ATLANTA_HAWKS,2017.0,41.8373,-87.6862,33.7627,-84.4225,942.3265641109961,588.9541025693725,201701250CHI
46,2017-01-27 21:00:00+00:00,WASHINGTON_WIZARDS,ATLANTA_HAWKS,112,86,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,41.8373,-87.6862,942.3265641109961,588.9541025693725,201701270ATL
47,2017-01-29 16:00:00+00:00,NEW_YORK_KNICKS,ATLANTA_HAWKS,139,142,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,33.7627,-84.4225,0.0,0.0,201701290ATL
48,2017-02-01 20:30:00+00:00,ATLANTA_HAWKS,MIAMI_HEAT,93,116,MIA,Key Biscayne,Florida,ATLANTA_HAWKS,2017.0,25.6908,-80.1653,33.7627,-84.4225,986.9244667215992,616.8277917009995,201702010MIA
49,2017-02-02 21:00:00+00:00,ATLANTA_HAWKS,HOUSTON_ROCKETS,113,108,HOU,Houston,Texas,ATLANTA_HAWKS,2017.0,29.7869,-95.3905,25.6908,-80.1653,1564.6219642984718,977.8887276865448,201702020HOU
50,2017-02-04 20:00:00+00:00,ORLANDO_MAGIC,ATLANTA_HAWKS,86,113,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,29.7869,-95.3905,1126.3016225489143,703.9385140930715,201702040ATL
51,2017-02-06 20:30:00+00:00,UTAH_JAZZ,ATLANTA_HAWKS,120,95,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,33.7627,-84.4225,0.0,0.0,201702060ATL
52,2017-02-08 20:30:00+00:00,DENVER_NUGGETS,ATLANTA_HAWKS,106,117,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,33.7627,-84.4225,0.0,0.0,201702080ATL
53,2017-02-10 23:30:00+00:00,ATLANTA_HAWKS,SACRAMENTO_KINGS,107,108,SAC,Sacramento,California,ATLANTA_HAWKS,2017.0,38.5667,-121.4683,33.7627,-84.4225,3345.2815488720203,2090.8009680450127,201702100SAC
54,2017-02-13 23:30:00+00:00,ATLANTA_HAWKS,PORTLAND_TRAIL_BLAZERS,109,104,POR,Portland,Oregon,ATLANTA_HAWKS,2017.0,45.5371,-122.65,38.5667,-121.4683,781.1641456796249,488.2275910497656,201702130POR
55,2017-02-15 23:30:00+00:00,ATLANTA_HAWKS,LOS_ANGELES_CLIPPERS,84,99,LAC,Los Angeles,California,ATLANTA_HAWKS,2017.0,34.1139,-118.4068,45.5371,-122.65,1320.3584705314008,825.2240440821255,201702150LAC
56,2017-02-24 21:00:00+00:00,MIAMI_HEAT,ATLANTA_HAWKS,108,90,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,34.1139,-118.4068,3120.6832575484336,1950.427035967771,201702240ATL
57,2017-02-25 20:00:00+00:00,ATLANTA_HAWKS,ORLANDO_MAGIC,86,105,ORL,Orlando,Florida,ATLANTA_HAWKS,2017.0,28.4772,-81.3369,33.7627,-84.4225,656.9300189696178,410.5812618560111,201702250ORL
58,2017-02-27 20:30:00+00:00,ATLANTA_HAWKS,BOSTON_CELTICS,114,98,BOS,Boston,Massachusetts,ATLANTA_HAWKS,2017.0,42.3188,-71.0846,28.4772,-81.3369,1794.727872011008,1121.70492000688,201702270BOS
59,2017-03-01 20:30:00+00:00,DALLAS_MAVERICKS,ATLANTA_HAWKS,95,100,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,42.3188,-71.0846,1503.3142807047416,939.5714254404635,201703010ATL
60,2017-03-03 20:00:00+00:00,CLEVELAND_CAVALIERS,ATLANTA_HAWKS,135,130,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,33.7627,-84.4225,0.0,0.0,201703030ATL
61,2017-03-05 14:00:00+00:00,INDIANA_PACERS,ATLANTA_HAWKS,97,96,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,33.7627,-84.4225,0.0,0.0,201703050ATL
62,2017-03-06 20:30:00+00:00,GOLDEN_STATE_WARRIORS,ATLANTA_HAWKS,119,111,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,33.7627,-84.4225,0.0,0.0,201703060ATL
