"","Date","Team","Acquired","Relinquished","Notes"
"4371","2014-02-08","Bucks","","Ekpe Udoh","sprained left ankle (DNP)"
"4385","2014-02-09","Lakers","","Jodie Meeks","sprained right ankle (DNP)"
"4391","2014-02-10","76ers","","Hollis Thompson","sprained right ankle (DNP)"
"4395","2014-02-10","Celtics","","Avery Bradley","sore right ankle (DNP)"
"4407","2014-02-11","Lakers","","Jodie Meeks","sprained right ankle (DNP)"
"4411","2014-02-12","76ers","","Hollis Thompson","sprained right ankle (DNP)"
"4415","2014-02-12","Celtics","","Avery Bradley","sore right ankle (DNP)"
"4419","2014-02-12","Mavericks","","Devin Harris","sprained left ankle (P) / knee (CBC) (DNP)"
"4427","2014-02-13","Lakers","","Jodie Meeks","sprained right ankle (DNP)"
"4430","2014-02-18","76ers","","Hollis Thompson","sprained right ankle (DNP)"
"4440","2014-02-19","Hawks","","Gustavo Ayon","shoulder injury / stress fracture in right ankle (P) (DNP)"
"4446","2014-02-19","Rockets","","Ronnie Brewer","sprained right ankle (DNP)"
"4455","2014-02-20","Rockets","","Ronnie Brewer","sprained right ankle (DNP)"
"4460","2014-02-21","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4464","2014-02-21","Hawks","","Jeff Teague","sprained left ankle (DNP)"
"4471","2014-02-22","Bucks","","Caron Butler","sore left ankle (DNP)"
"4478","2014-02-22","Magic","","Arron Afflalo","sprained right ankle (DNP)"
"4486","2014-02-23","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4490","2014-02-23","Magic","","Arron Afflalo","sprained right ankle (DNP)"
"4501","2014-02-24","Bucks","","Caron Butler","sore left ankle (DNP)"
"4510","2014-02-25","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4520","2014-02-25","Suns","","Viacheslav Kravstov ","sprained right ankle (DNP)"
"4526","2014-02-26","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4538","2014-02-26","Suns","","Goran Dragic","ankle injury (DNP)"
"4540","2014-02-26","Suns","","Viacheslav Kravstov ","sprained right ankle (DNP)"
"4548","2014-02-28","Cavaliers","","Anthony Bennett","sprained left ankle / right knee injury"
"4560","2014-02-28","Suns","","Viacheslav Kravstov ","sprained right ankle (DNP)"
"4563","2014-03-01","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4583","2014-03-03","Grizzlies","","James Johnson","ankle injury (DNP)"
"4589","2014-03-04","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4590","2014-03-04","Celtics","","Gerald Wallace","arthroscopic surgery on left knee to repair torn meniscus, and ankle (out indefinitely)"
"4597","2014-03-05","Celtics","","Gerald Wallace","recovering from arthroscopic surgery on left knee to repair torn meniscus, and ankle (DNP)"
"4601","2014-03-05","Magic","","Victor Oladipo","sore left ankle (DNP)"
"4605","2014-03-05","Pistons","","Peyton Siva","sprained left ankle (DNP)"
"4615","2014-03-07","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4616","2014-03-07","Celtics","","Gerald Wallace","recovering from arthroscopic surgery on left knee to repair torn meniscus, and ankle (DNP)"
"4623","2014-03-07","Pistons","","Peyton Siva","sprained left ankle (DNP)"
"4627","2014-03-08","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4633","2014-03-09","Pistons","","Peyton Siva","sprained left ankle (DNP)"
"4634","2014-03-09","Celtics","","Avery Bradley","sore right ankle (DNP)"
"4643","2014-03-11","Bucks","","Ersan Ilyasova","right ankle injury (DNP)"
"4644","2014-03-11","Celtics","","Avery Bradley","sore left ankle (DNP)"
"4646","2014-03-11","Pistons","","Peyton Siva","sprained left ankle (DNP)"
"4650","2014-03-12","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4651","2014-03-12","Celtics","","Avery Bradley","sore right ankle (DNP)"
"4660","2014-03-12","Pistons","","Peyton Siva","sprained left ankle (DNP)"
"4674","2014-03-15","Pistons","","Peyton Siva","sprained left ankle (DNP)"
"4675","2014-03-16","Bucks","","Ersan Ilyasova","right ankle injury (DNP)"
"4683","2014-03-16","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"4692","2014-03-17","Rockets","","Dwight Howard","sprained left ankle (DNP)"
"4694","2014-03-18","Cavaliers","","Luol Deng","sprained left ankle (DNP)"
"4708","2014-03-19","Pistons","","Peyton Siva","sprained left ankle (DNP)"
"4709","2014-03-19","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"4710","2014-03-20","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4711","2014-03-20","Cavaliers","","Luol Deng","sprained left ankle (DNP)"
"4714","2014-03-20","Rockets","","Dwight Howard","sprained left ankle (DNP)"
"4716","2014-03-20","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"4721","2014-03-21","Kings","","Quincy Acy","sprained right ankle (DNP)"
"4724","2014-03-21","Pistons","","Peyton Siva","sprained left ankle (DNP)"
"4725","2014-03-22","76ers","","Tony Wroten Jr.","sprained right ankle (DNP)"
"4729","2014-03-22","Cavaliers","","Luol Deng","sprained left ankle (DNP)"
"4737","2014-03-22","Pistons","","Peyton Siva","sprained left ankle (DNP)"
"4738","2014-03-22","Rockets","","Dwight Howard","sprained left ankle (DNP)"
"4742","2014-03-23","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4745","2014-03-23","Kings","","Quincy Acy","sprained right ankle (DNP)"
"4755","2014-03-23","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"4756","2014-03-24","76ers","","Tony Wroten Jr.","sprained right ankle (DNP)"
"4757","2014-03-24","Bucks","","Ersan Ilyasova","right ankle injury (DNP)"
"4761","2014-03-24","Heat","","Dwyane Wade","ankle injury (DNP)"
"4762","2014-03-24","Nets","","Andrei Kirilenko","sprained left ankle (DNP)"
"4774","2014-03-24","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"4776","2014-03-25","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4783","2014-03-26","Bobcats","","Gary Neal","sprained left ankle (DNP)"
"4785","2014-03-26","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4791","2014-03-26","Nets","","Andrei Kirilenko","sprained left ankle (DNP)"
"4799","2014-03-26","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"4800","2014-03-27","76ers","","Tony Wroten Jr.","sprained right ankle (DNP)"
"4801","2014-03-27","Bucks","","Ersan Ilyasova","right ankle injury (DNP)"
"4803","2014-03-27","Bucks","","O.J. Mayo","sprained right ankle (DNP)"
"4805","2014-03-27","Hawks","","Pero Antic","sprained right ankle (DNP)"
"4809","2014-03-28","Bobcats","","Gary Neal","sprained left ankle (DNP)"
"4810","2014-03-28","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4817","2014-03-28","Nets","","Andrei Kirilenko","sprained left ankle (DNP)"
"4831","2014-03-29","76ers","","B.J. Mullens","sprained left ankle (DNP)"
"4832","2014-03-29","Bucks","","Ersan Ilyasova","right ankle injury (DNP)"
"4834","2014-03-29","Bucks","","O.J. Mayo","sprained right ankle (DNP)"
"4842","2014-03-29","Pelicans","","Anthony Davis","left ankle injury (DNP)"
"4846","2014-03-29","Rockets","","Dwight Howard","sprained left ankle (DNP)"
"4850","2014-03-30","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4856","2014-03-30","Nets","","Andrei Kirilenko","sprained left ankle (DNP)"
"4860","2014-03-31","76ers","","B.J. Mullens","sprained left ankle (DNP)"
"4861","2014-03-31","Bucks","","Ersan Ilyasova","right ankle injury (DNP)"
"4879","2014-04-01","Nets","","Andrei Kirilenko","sprained left ankle (DNP)"
"4881","2014-04-01","Rockets","","Dwight Howard","sprained left ankle (DNP)"
"4886","2014-04-02","76ers","","B.J. Mullens","sprained left ankle (DNP)"
"4887","2014-04-02","Bobcats","","Josh McRoberts","sprained left ankle (DNP)"
"4888","2014-04-02","Bucks","","Ersan Ilyasova","right ankle injury (DNP)"
"4890","2014-04-02","Bucks","","O.J. Mayo","sprained right ankle (DNP)"
"4893","2014-04-02","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"4902","2014-04-02","Lakers","","Steve Nash","sprained ankle / nerve root irritation (P) (DNP)"
"4904","2014-04-02","Nets","","Andrei Kirilenko","sprained left ankle (DNP)"
"4911","2014-04-02","Rockets","","Dwight Howard","sprained left ankle (DNP)"
"4923","2014-04-04","76ers","","B.J. Mullens","sprained left ankle (DNP)"
"4924","2014-04-04","Bobcats","","Josh McRoberts","sprained left ankle (DNP)"
"4926","2014-04-04","Bucks","","Ersan Ilyasova","right ankle injury (DNP)"
"4928","2014-04-04","Bucks","","O.J. Mayo","sprained right ankle (DNP)"
"4946","2014-04-04","Rockets","","Dwight Howard","sprained left ankle (DNP)"
"4950","2014-04-04","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"4953","2014-04-05","76ers","","B.J. Mullens","sprained left ankle (DNP)"
"4954","2014-04-05","Bobcats","","Josh McRoberts","sprained left ankle (DNP)"
"4956","2014-04-05","Bucks","","Ersan Ilyasova","right ankle injury (DNP)"
"4957","2014-04-05","Bucks","","Miroslav Raduljica","sprained ankle (DNP)"
"4959","2014-04-05","Bucks","","O.J. Mayo","sprained right ankle (DNP)"
"4969","2014-04-05","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"4983","2014-04-06","Nuggets","","Ty Lawson","sprained left ankle (DNP)"
"4988","2014-04-06","Rockets","","Dwight Howard","sprained left ankle (DNP)"
"5005","2014-04-08","Rockets","","Dwight Howard","sprained left ankle (DNP)"
"5008","2014-04-08","Timberwolves","","Chase Budinger","sprained right ankle (DNP)"
"5010","2014-04-08","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"5011","2014-04-09","76ers","","B.J. Mullens","sprained left ankle (DNP)"
"5013","2014-04-09","Bucks","","Miroslav Raduljica","sprained ankle (DNP)"
"5014","2014-04-09","Bucks","","O.J. Mayo","sprained right ankle (DNP)"
"5019","2014-04-09","Hawks","","Pero Antic","sore right ankle (DNP)"
"5029","2014-04-09","Nuggets","","Ty Lawson","sprained left ankle (DNP)"
"5040","2014-04-09","Timberwolves","","Chase Budinger","sprained right ankle (DNP)"
"5043","2014-04-09","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"5047","2014-04-10","Nuggets","","Ty Lawson","sprained left ankle (DNP)"
"5052","2014-04-11","Bucks","","O.J. Mayo","sprained right ankle (DNP)"
"5071","2014-04-11","Suns","","Goran Dragic","sprained ankle (DNP)"
"5072","2014-04-11","Timberwolves","","Chase Budinger","sprained right ankle (DNP)"
"5075","2014-04-11","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"5079","2014-04-11","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"5084","2014-04-12","Bucks","","O.J. Mayo","sprained right ankle (DNP)"
"5086","2014-04-12","Cavaliers","","C.J. Miles","sprained left ankle (DNP)"
"5088","2014-04-12","Celtics","","Jared Sullinger","sprained left ankle (DNP)"
"5094","2014-04-12","Hawks","","Pero Antic","sprained right ankle (DNP)"
"5100","2014-04-12","Nuggets","","Ty Lawson","sprained left ankle (DNP)"
"5102","2014-04-12","Pelicans","","Brian Roberts","sprained left ankle (DNP)"
"5117","2014-04-13","Timberwolves","","Chase Budinger","sprained right ankle (DNP)"
"5118","2014-04-13","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"5120","2014-04-14","Bucks","","O.J. Mayo","sprained right ankle (DNP)"
"5121","2014-04-14","Celtics","","Jared Sullinger","sprained left ankle (DNP)"
"5133","2014-04-14","Pelicans","","Brian Roberts","sprained left ankle (DNP)"
"5139","2014-04-14","Timberwolves","","Chase Budinger","sprained right ankle (DNP)"
"5140","2014-04-14","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"5149","2014-04-15","Nuggets","","Ty Lawson","sprained left ankle (DNP)"
"5151","2014-04-16","Bucks","","O.J. Mayo","sprained right ankle (DNP)"
"5153","2014-04-16","Celtics","","Jared Sullinger","sprained left ankle (DNP)"
"5165","2014-04-16","Knicks","","Raymond Felton","ankle injury (DNP)"
"5182","2014-04-16","Nuggets","","Ty Lawson","sprained left ankle (DNP)"
"5191","2014-04-16","Suns","","Goran Dragic","ankle injury (DNP)"
"5192","2014-04-16","Timberwolves","","Chase Budinger","sprained right ankle (DNP)"
"5194","2014-04-16","Timberwolves","","Nikola Pekovic","sore right ankle (DNP)"
"5202","2014-04-20","Heat","","Michael Beasley","sprained right ankle (DNP)"
"5228","2014-05-27","Nets","","Deron Williams","surgery on left ankle to remove bone spurs and right ankle to remove loose bone fragment (out indefinitely)"
"5264","2014-10-29","Pacers","","David West","sprained right ankle (DTD)"
"5267","2014-10-29","Thunder","","Reggie Jackson ","sprained right ankle (DTD)"
"5268","2014-10-29","Timberwolves","","Glenn Robinson III","ankle injury (DTD)"
"5270","2014-10-29","Wizards","","Glen Rice Jr.","sprained right ankle (DNP)"
"5275","2014-11-01","Bulls","","Derrick Rose","sprained left ankle (DTD)"
"5292","2014-11-07","76ers","","Nerlens Noel","sprained left ankle (DTD)"
"5293","2014-11-07","Knicks","","Pablo Prigioni","sprained right ankle (DTD)"
"5297","2014-11-08","Celtics","","Marcus Smart","sprained left ankle (DNP)"
"5302","2014-11-08","Timberwolves","","Ricky Rubio","sprained left ankle (DNP)"
"5341","2014-11-19","Hornets","","P.J. Hairston","sprained right ankle (DNP)"
"5344","2014-11-19","Raptors","","James Johnson","sprained right ankle (DTD)"
"5360","2014-11-21","76ers","","Jerami Grant","sprained right ankle (DTD)"
"5370","2014-11-24","Pacers","","Roy Hibbert","sprained left ankle (DTD)"
"5381","2014-11-26","Spurs","","Cory Joseph","sprained left ankle (DTD)"
"5392","2014-11-29","Jazz","","Jeremy Evans","sprained left ankle (DTD)"
"5395","2014-11-29","Rockets","","Isaiah Canaan","left ankle injury (DTD)"
"5455","2014-12-13","76ers","","K.J. McDaniels","sprained left ankle (DTD)"
"5460","2014-12-13","Rockets","","Isaiah Canaan","sprained left ankle (DTD)"
"5462","2014-12-13","Bucks","","Damien Inglis","right ankle injury (out for season)"
"5465","2014-12-14","Nuggets","","Kenneth Faried","strained right ankle (DTD)"
"5524","2014-12-23","Hawks","","Pero Antic","sprained right ankle (DTD)"
"5545","2014-12-27","Rockets","","Alexey Shved","sprained left ankle (DTD)"
"5547","2014-12-28","Knicks","","Samuel Dalembert","sprained right ankle (DTD)"
"5554","2014-12-30","Cavaliers","","Shawn Marion","sprained left ankle (DTD)"
"5575","2015-01-03","Celtics","","Jameer Nelson","sprained right ankle (DTD)"
"5577","2015-01-03","Jazz","","Enes Kanter","sprained right ankle (out indefinitely)"
"5616","2015-01-09","Timberwolves","","Mo Williams","sprained right ankle (DTD)"
"5621","2015-01-10","Magic","","Tobias Harris","sprained left ankle (DTD)"
"5636","2015-01-14","76ers","","Tony Wroten Jr.","sprained right ankle / knee (DTD)"
"5640","2015-01-14","Mavericks","","Tyson Chandler","rest / sprained left ankle (DTD)"
"5661","2015-01-17","Hawks","","Dennis Schroder","ankle injury (DTD)"
"5664","2015-01-17","Kings","","DeMarcus Cousins","sprained right ankle (DTD)"
"5675","2015-01-21","Heat","","Hassan Whiteside","sprained right ankle (DTD)"
"5676","2015-01-21","Lakers","","Tarik Black","sprained right ankle (DTD)"
"5688","2015-01-23","Pelicans","","Ryan Anderson","ankle injury (DTD)"
"5701","2015-01-25","Rockets","","Dwight Howard","sprained right ankle/ right knee injury (DTD)"
"5711","2015-01-27","Lakers","","Nick Young","sprained right ankle (DTD)"
"5736","2015-01-31","Timberwolves","","Zach LaVine","sprained left ankle (DTD)"
"5745","2015-02-04","Bucks","","Kenyon Martin","sprained left ankle (DTD)"
"5747","2015-02-04","Grizzlies","","Jordan Adams","sore left ankle (DTD)"
"5756","2015-02-05","Wizards","","Kevin Seraphin","sprained right ankle (DTD)"
"5760","2015-02-06","Heat","","Hassan Whiteside","sprained ankle (DTD)"
"5763","2015-02-06","Pacers","","Ian Mahinmi","sprained right ankle (DTD)"
"5765","2015-02-06","Suns","","Alex Len","sprained right ankle (out indefinitely)"
"5790","2015-02-10","Kings","","Derrick Williams","ankle injury (DTD)"
"5795","2015-02-10","Pistons","","Cartier Martin","sprained right ankle (DTD)"
"5800","2015-02-19","Clippers","","Austin Rivers","left ankle injury / sore left foot (DTD)"
"5823","2015-02-21","Timberwolves","","Anthony Bennett","sprained right ankle (DTD)"
"5830","2015-02-22","Warriors","","Stephen Curry","sprained right ankle / sore right foot (P) (DTD)"
"5835","2015-02-23","Nets","","Bojan Bogdanovic","sprained left ankle (DTD)"
"5838","2015-02-23","Rockets","","Kostas Papanikolaou","sprained right ankle (DTD)"
"5840","2015-02-23","Timberwolves","","Gary Neal","sprained right ankle (DTD)"
"5864","2015-02-27","Nuggets","","Jusuf Nurkic","sprained right ankle (DTD)"
"5889","2015-03-02","Timberwolves","","Nikola Pekovic","ankle injury (DTD)"
"5911","2015-03-06","Magic","","Nikola Vucevic","sore left ankle (DTD)"
"5916","2015-03-06","Rockets","","Kostas Papanikolaou","sprained right ankle (DTD)"
"5917","2015-03-07","Hawks","","Pero Antic","ankle injury (DTD)"
"5919","2015-03-07","Heat","","Hassan Whiteside","ankle injury (DTD)"
"5923","2015-03-07","Suns","","Alex Len","sprained right ankle (DTD)"
"5937","2015-03-10","Pelicans","","Tyreke Evans","ankle injury (DTD)"
"5938","2015-03-11","Bucks","","Jerryd Bayless","sore right ankle (DTD)"
"5948","2015-03-12","Grizzlies","","Mike Conley Jr.","ankle injury (DTD)"
"5963","2015-03-13","Timberwolves","","Nikola Pekovic","sprained right ankle (out for season)"
"5972","2015-03-14","Bucks","","Michael Carter-Williams","ankle injury (DTD)"
"5980","2015-03-14","Suns","","Alex Len","sprained right ankle (DTD)"
"5992","2015-03-15","Timberwolves","","Ricky Rubio","sore right ankle (DTD)"
"6005","2015-03-16","Spurs","","Manu Ginobili","sprained right ankle (DTD)"
"6011","2015-03-17","Knicks","","Cleanthony Early","sprained left ankle (DTD)"
"6020","2015-03-18","Magic","","Dewayne Dedmon","sprained left ankle (DTD)"
"6021","2015-03-18","Magic","","Tobias Harris","sprained left ankle (DTD)"
"6028","2015-03-19","Pelicans","","Anthony Davis","sprained left ankle (DTD)"
"6030","2015-03-19","Timberwolves","","Gary Neal","sore right ankle (DTD)"
"6031","2015-03-19","Timberwolves","","Ricky Rubio","sore right ankle (DTD)"
"6037","2015-03-20","Thunder","","Enes Kanter","sprained left ankle (DTD)"
"6041","2015-03-21","Mavericks","","Jose Barea ","sprained left ankle (DTD)"
"6045","2015-03-21","Thunder","","Nick Collison","sprained left ankle (DTD)"
"6052","2015-03-22","Pelicans","","Tyreke Evans","sprained left ankle (DTD)"
"6057","2015-03-23","Timberwolves","","Gary Neal","sprained left ankle (out for season)"
"6065","2015-03-24","Thunder","","Andre Roberson","sprained left ankle (DTD)"
"6082","2015-03-25","Wizards","","Toure Murry","sprained left ankle (DTD)"
"6091","2015-03-27","Magic","","Dewayne Dedmon","sore left ankle (DTD)"
"6141","2015-04-01","Pistons","","Spencer Dinwiddie","sprained left ankle (out for season)"
"6151","2015-04-03","Timberwolves","","Anthony Bennett","sprained right ankle (DTD)"
"6153","2015-04-04","76ers","","Thomas Robinson","sprained left ankle (DTD)"
"6159","2015-04-04","Nets","","Alan Anderson","sprained left ankle (DTD)"
"6162","2015-04-04","Raptors","","Amir Johnson","sprained right ankle (DTD)"
"6163","2015-04-04","Suns","","Brandon Knight","sprained left ankle (DTD)"
"6167","2015-04-05","Knicks","","Cleanthony Early","sprained left ankle (DTD)"
"6198","2015-04-10","76ers","","Nerlens Noel","sprained right ankle (out for season)"
"6206","2015-04-10","Suns","","Marcus Thornton ","sprained left ankle (DTD)"
"6217","2015-04-12","Suns","","Brandan Wright","foot injury / sore left ankle (out for season)"
"6219","2015-04-12","Thunder","","Perry Jones III","sprained left ankle (out for season)"
"6237","2015-04-13","Lakers","","Wes Johnson","sprained left ankle (out for season)"
"6243","2015-04-13","Timberwolves","","Ricky Rubio","exploratory surgery on left ankle (out for season)"
"6249","2015-04-15","Blazers","","C.J. McCollum","sprained left ankle (DTD)"
"6255","2015-04-15","Celtics","","Jae Crowder","sore right ankle (DTD)"
"6266","2015-04-15","Lakers","","Jordan Clarkson","sprained left ankle (DTD)"
"6272","2015-04-15","Timberwolves","","Chase Budinger","sprained left ankle (DTD)"
"6283","2015-04-18","Suns","","Brandon Knight","arthroscopic surgery on left ankle (out indefinitely)"
"6293","2015-04-22","Blazers","","Chris Kaman","left ankle injury (DTD)"
"6299","2015-04-27","Blazers","","Chris Kaman","sprained left ankle (out for season)"
"6304","2015-05-03","Warriors","","Ognen Kuzmic","ankle injury (out for season)"
"6312","2015-05-23","Hawks","","Kyle Korver","sprained right ankle (out for season)"
"6313","2015-05-23","Raptors","","Terrence Ross","surgery on left ankle to remove bone spurs (out indefinitely)"
"6315","2015-05-27","Hawks","","Kyle Korver","surgery on right ankle to repair ligament damage (out indefinitely)"
"6321","2015-06-16","Bulls","","Taj Gibson","surgery on left ankle (out for season)"
"6332","2015-09-02","","","Glen Davis","surgery on left ankle to repair torn ligaments (out indefinitely)"
"6344","2015-10-13","Wizards","","Alan Anderson","surgery on left ankle to remove bone fragment (DTD)"
"6366","2015-10-28","Hornets","","Jeremy Lamb","sprained right ankle (DTD)"
"6368","2015-10-28","Pacers","","Myles Turner","sore right ankle (DTD)"
"6394","2015-11-03","Hawks","","Mike Muscala","sore right ankle (DTD)"
"6401","2015-11-04","Bucks","","Michael Carter-Williams","strained left ankle (DTD)"
"6404","2015-11-04","Pacers","","C.J. Miles","sore right ankle (DTD)"
"6407","2015-11-06","Hawks","","Mike Muscala","ankle injury (DTD)"
"6413","2015-11-06","Pelicans","","Norris Cole ","sprained left ankle (DTD)"
"6417","2015-11-07","Kings","","Seth Curry","sprained right ankle (DTD)"
"6418","2015-11-07","Pacers","","Rodney Stuckey","ankle injury (DTD)"
"6430","2015-11-09","Pacers","","Rodney Stuckey","sore right ankle (DTD)"
"6446","2015-11-11","Pacers","","Rodney Stuckey","sprained right ankle (DTD)"
"6461","2015-11-13","Jazz","","Rudy Gobert","sprained left ankle (DTD)"
"6475","2015-11-16","Bulls","","Derrick Rose","sprained left ankle (DTD)"
"6476","2015-11-16","Hawks","","Kent Bazemore","sprained ankle (DTD)"
"6493","2015-11-19","Cavaliers","","Mo Williams","right ankle inflammation (DTD)"
"6501","2015-11-20","Hornets","","Cody Zeller","sprained left ankle (DTD)"
"6513","2015-11-21","Nuggets","","Kenneth Faried","sprained left ankle (DTD)"
"6531","2015-11-25","Thunder","","Mitch McGary","sore ankle (DTD)"
"6534","2015-11-27","Blazers","","Chris Kaman","sore ankle (DTD)"
"6538","2015-11-27","Mavericks","","Jose Barea ","sprained right ankle (DTD)"
"6542","2015-11-27","Timberwolves","","Ricky Rubio","ankle injury (DTD)"
"6562","2015-12-03","Clippers","","J.J. Redick","sprained right ankle (DTD)"
"6564","2015-12-03","Nuggets","","Kenneth Faried","ankle injury (DTD)"
"6568","2015-12-04","Wizards","","Kris Humphries","sprained left ankle (DTD)"
"6580","2015-12-06","Nets","","Rondae Hollis-Jefferson","right ankle injury (DTD)"
"6581","2015-12-06","Nets","","Sergey Karasev","sprained left ankle (DTD)"
"6590","2015-12-08","Magic","","Aaron Gordon","ankle injury (DTD)"
"6598","2015-12-09","Nets","","Rondae Hollis-Jefferson","surgery on right ankle to repair fractured bone (out indefinitely)"
"6600","2015-12-09","Wizards","","Kris Humphries","sprained left ankle (DTD)"
"6601","2015-12-09","Raptors","","Lucas Nogueira","sprained left ankle (DTD)"
"6607","2015-12-11","Warriors","","Klay Thompson","sprained right ankle (DTD)"
"6621","2015-12-15","Bucks","","Greivis Vasquez","surgery on right ankle to remove bone spur and loose bodies (out indefinitely)"
"6628","2015-12-16","Nets","","Sergey Karasev","sore left ankle (DTD)"
"6652","2015-12-21","Clippers","","Austin Rivers","sprained right ankle (DTD)"
"6661","2015-12-22","Raptors","","James Johnson","sprained left ankle (DTD)"
"6665","2015-12-23","Knicks","","Carmelo Anthony","sprained right ankle (DTD)"
"6666","2015-12-23","Lakers","","Julius Randle","sprained left ankle (DTD)"
"6683","2015-12-26","Clippers","","Austin Rivers","sprained right ankle (DTD)"
"6691","2015-12-28","Heat","","Justise Winslow","ankle injury (DTD)"
"6707","2015-12-30","Hornets","","Jeremy Lin","sprained right ankle (DTD)"
"6717","2015-12-31","Suns","","Jon Leuer","ankle injury (DTD)"
"6727","2016-01-02","Nuggets","","Kostas Papanikolaou","sprained left ankle (DTD)"
"6738","2016-01-02","Warriors","","Harrison Barnes","sprained left ankle (DTD) (P)"
"6749","2016-01-04","Magic","","Elfrid Payton","bruised left ankle (DTD)"
"6752","2016-01-04","Rockets","","Ty Lawson","sprained left ankle (DTD)"
"6772","2016-01-07","Jazz","","Rodney Hood","right ankle injury (DTD)"
"6779","2016-01-08","Lakers","","D'Angelo Russell","sprained right ankle (DTD)"
"6784","2016-01-09","Hawks","","Jeff Teague","ankle injury (DTD)"
"6813","2016-01-12","Pacers","","Rodney Stuckey","sprained right ankle/foot (DTD)"
"6822","2016-01-13","Knicks","","Carmelo Anthony","sprained right ankle (DTD)"
"6837","2016-01-15","Bucks","","Jerryd Bayless","sprained left ankle (DTD)"
"6857","2016-01-17","Rockets","","Patrick Beverley","ankle injury (DTD)"
"6864","2016-01-18","Nets","","Andrea Bargnani","sore right ankle (DTD)"
"6880","2016-01-20","Rockets","","Patrick Beverley","sprained left ankle (DTD)"
"6887","2016-01-21","Rockets","","Dwight Howard","sprained left ankle (DTD)"
"6890","2016-01-21","Suns","","Mirza Teletovic","sprained left ankle (DTD)"
"6893","2016-01-22","Celtics","","Jordan Mickey","ankle injury (already on IL)"
"6898","2016-01-22","Pacers","","Ian Mahinmi","sprained left ankle (DTD)"
"6937","2016-01-27","Hornets","","Jeremy Lin","sprained right ankle (DTD)"
"6943","2016-01-28","Blazers","","Pat Connaughton","bone bruise in left ankle (DTD)"
"6947","2016-01-28","Hawks","","Paul Millsap","sprained left ankle (DTD)"
"6958","2016-01-30","Kings","","DeMarcus Cousins","sprained left ankle (DTD)"
"6995","2016-02-05","Magic","","Tobias Harris","sore left ankle (DTD)"
"6996","2016-02-06","76ers","","Ish Smith","sprained left ankle (DTD)"
"7007","2016-02-07","Kings","","Rudy Gay","sprained left ankle (DTD)"
"7027","2016-02-10","Pistons","","Spencer Dinwiddie","sore ankle (DTD)"
"7028","2016-02-10","Spurs","","Tony Parker","left ankle injury (DTD)"
"7056","2016-02-19","Suns","","Alex Len","sprained right ankle (DTD)"
"7077","2016-02-23","Pelicans","","Omer Asik","sprained right ankle (DTD)"
"7078","2016-02-24","76ers","","T.J. McConnell","sprained right ankle (DTD)"
"7087","2016-02-25","Rockets","","Clint Capela","sprained right ankle / foot (CBC) (DTD)"
"7115","2016-03-01","Warriors","","Stephen Curry","left ankle injury (DTD)"
"7182","2016-03-10","Bucks","","O.J. Mayo","fractured right ankle (out for season)"
"7202","2016-03-12","Warriors","","Andre Iguodala","sprained left ankle (DTD)"
"7212","2016-03-14","Celtics","","Jae Crowder","sprained right ankle (DTD)"
"7235","2016-03-16","Kings","","Marco Belinelli","sore right ankle (DTD)"
"7251","2016-03-18","Kings","","Omri Casspi","sore left ankle (DTD)"
"7258","2016-03-18","Raptors","","Patrick Patterson","sore left ankle (DTD)"
"7284","2016-03-22","Hornets","","Marvin Williams","sprained left ankle (DTD)"
"7309","2016-03-25","Grizzlies","","Zach Randolph","sprained right ankle (DTD)"
"7352","2016-03-29","Clippers","","Paul Pierce","sprained right ankle (DTD)"
"7385","2016-04-01","Suns","","Jon Leuer","sprained right ankle (DTD)"
