"","Date","Team","Acquired","Relinquished","Notes"
"854","2011-12-25","Grizzlies","","Xavier Henry","right ankle injury (out indefinitely)"
"864","2011-12-26","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"869","2011-12-28","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"873","2011-12-30","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"876","2011-12-30","Grizzlies","","Mike Conley Jr.","sprained left ankle (DNP)"
"879","2011-12-30","Jazz","","Al Jefferson","sprained right ankle (DNP)"
"884","2011-12-31","Knicks","","Amar'e Stoudemire","sprained left ankle (DNP)"
"885","2012-01-01","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"889","2012-01-01","Grizzlies","","Mike Conley Jr.","sprained left ankle (DNP)"
"891","2012-01-01","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"893","2012-01-01","Grizzlies","","Xavier Henry","sprained right ankle (DNP)"
"897","2012-01-02","Knicks","","Amar'e Stoudemire","sprained left ankle (DNP)"
"898","2012-01-02","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"902","2012-01-03","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"906","2012-01-03","Grizzlies","","Xavier Henry","sprained right ankle (DNP)"
"908","2012-01-04","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"915","2012-01-04","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"929","2012-01-06","Nets","","Damion James","sprained right ankle (DTD)"
"930","2012-01-06","Nets","","MarShon Brooks","sprained left ankle (DNP)"
"931","2012-01-06","Pacers","","Lance Stephenson","sprained left ankle (DTD)"
"933","2012-01-06","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"944","2012-01-07","Heat","","LeBron James","sprained left ankle (DNP)"
"951","2012-01-07","Pistons","","Austin Daye","sore right ankle (DNP)"
"952","2012-01-07","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"954","2012-01-07","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"970","2012-01-09","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"971","2012-01-09","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"975","2012-01-10","Bobcats","","Tyrus Thomas","sprained left ankle (DNP)"
"981","2012-01-10","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"983","2012-01-10","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"997","2012-01-11","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"1001","2012-01-12","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"1004","2012-01-12","Hawks","","Marvin Williams","sprained left ankle (DNP)"
"1011","2012-01-13","Nets","","Dennis Horner","sprained left ankle (DNP)"
"1013","2012-01-13","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"1015","2012-01-13","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"1018","2012-01-13","Timberwolves","","Jose Barea ","sprained left ankle (DNP)"
"1022","2012-01-14","Blazers","","Marcus Camby","sprained left ankle (DNP)"
"1030","2012-01-14","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"1031","2012-01-14","Timberwolves","","Jose Barea ","sprained left ankle (DNP)"
"1035","2012-01-15","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"1047","2012-01-16","Raptors","","James Johnson","sprained right ankle (DNP)"
"1048","2012-01-16","Raptors","","Jerryd Bayless","sprained left ankle (DNP)"
"1049","2012-01-16","Timberwolves","","Jose Barea ","sprained left ankle (DNP)"
"1057","2012-01-17","Heat","","Dwyane Wade","sprained right ankle (DNP)"
"1058","2012-01-17","Jazz","","Derrick Favors","sprained left ankle (DNP)"
"1060","2012-01-17","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"1071","2012-01-18","Pistons","","Charlie Villanueva","sore right ankle (DNP)"
"1090","2012-01-20","Timberwolves","","Jose Barea ","sprained left ankle (DNP)"
"1095","2012-01-21","Bulls","","Joakim Noah","sprained left ankle (DNP)"
"1097","2012-01-21","Bulls","","Taj Gibson","sprained left ankle (DNP)"
"1108","2012-01-21","Timberwolves","","Jose Barea ","sprained left ankle (DNP)"
"1119","2012-01-23","Celtics","","Ray Allen","sprained left ankle (DNP)"
"1126","2012-01-23","Timberwolves","","Jose Barea ","sprained left ankle (DNP)"
"1139","2012-01-25","Jazz","","Al Jefferson","right ankle inflammation (DNP)"
"1147","2012-01-25","Timberwolves","","Jose Barea ","sprained left ankle (DNP)"
"1152","2012-01-26","Bucks","","Andrew Bogut","fractured left ankle (out indefinitely)"
"1179","2012-01-29","Nuggets","","Ty Lawson","sprained left ankle (DNP)"
"1182","2012-01-30","Jazz","","Al Jefferson","right ankle inflammation (DNP)"
"1202","2012-02-01","Nets","","Anthony Morrow","sore/sprained left ankle (DNP)"
"1206","2012-02-01","Pacers","","George Hill","sprained left ankle (DNP)"
"1215","2012-02-02","Jazz","","Earl Watson","sprained left ankle (DNP)"
"1220","2012-02-03","Pacers","","George Hill","sprained left ankle (DNP)"
"1230","2012-02-04","Pacers","","George Hill","sprained left ankle (DNP)"
"1246","2012-02-06","Nuggets","","Arron Afflalo","sprained left ankle (DNP)"
"1248","2012-02-06","Nuggets","","Timofey Mozgov","sprained left ankle (DNP) (Fox)"
"1253","2012-02-07","Nuggets","","Danilo Gallinari","chip fracture in left ankle (out indefinitely)"
"1254","2012-02-07","Pacers","","George Hill","sprained left ankle (DNP)"
"1267","2012-02-08","Nuggets","","Danilo Gallinari","sprained left ankle (DNP)"
"1268","2012-02-08","Nuggets","","Timofey Mozgov","sprained left ankle (DNP) (Fox)"
"1269","2012-02-08","Pacers","","George Hill","chip fracture in left ankle (DNP)"
"1273","2012-02-09","Nets","","Keith Bogans","fractured left ankle / torn ligament in left ankle (out for season)"
"1274","2012-02-09","Nuggets","","Danilo Gallinari","sprained left ankle (DNP)"
