"","code","away.pace","away.efg","away.tov","away.orb","away.ftprb","away.ortg","home.pace","home.efg","home.tov","home.orb","home.ftprb","home.ortg"
"4289","201512120CHO","97.9","0.464","4.7","6.3","0.094","100.1","97.9","0.472","10.6","15.2","0.114","95"
"4290","201512120DET","99.4","0.518","15.1","12.2","0.134","96.6","99.4","0.572","12.5","26.3","0.167","118.7"
"4291","201512120ATL","97","0.554","21.6","18.8","0.284","106.1","97","0.406","16.3","14","0.163","80.4"
"4292","201512120CHI","96.2","0.483","9.6","10.9","0.09","97.7","96.2","0.474","12.5","16.3","0.308","101.8"
"4293","201512120HOU","101.8","0.455","16.4","22.9","0.193","95.3","101.8","0.606","13.5","34.1","0.189","123.8"
"4294","201512120DAL","98.5","0.6","12.4","10.3","0.141","115.7","98.5","0.506","10.8","23.9","0.236","112.7"
"4295","201512120MIL","101.1","0.438","13.8","29.4","0.191","94","101.1","0.522","14","19","0.156","106.9"
"4296","201512120POR","89.4","0.58","11.2","21.9","0.333","125.3","89.4","0.494","6.4","34.1","0.247","123"
"4297","201512130PHO","97.6","0.507","21.4","25.7","0.37","103.5","97.6","0.506","12.5","29.3","0.23","110.7"
"4298","201512130MIA","88.6","0.565","13.5","15.2","0.13","109.5","88.6","0.526","10.3","20","0.247","112.8"
"4299","201512130TOR","91.9","0.393","19.6","31.3","0.119","82.7","91.9","0.455","7.9","17.8","0.321","104.5"
"4300","201512130OKC","83.6","0.457","9.7","32","0.128","106.1","83.6","0.487","9.8","22.2","0.342","112.6"
"4301","201512140IND","92.7","0.43","16.6","30.6","0.278","97.1","92.7","0.535","13.1","25","0.163","114.4"
"4302","201512140BRK","92.9","0.599","15.9","18.9","0.184","113","92.9","0.431","16.3","20","0.163","88.3"
"4303","201512140DET","91.4","0.485","8.8","20.4","0.113","104","91.4","0.449","14.9","34.1","0.258","102.1"
"4304","201512140ATL","94.1","0.489","13.6","33.3","0.146","106.3","94.1","0.44","13.4","15.2","0.167","93.5"
"4305","201512140CHI","97.2","0.473","10.1","17.3","0.098","98.7","97.2","0.553","11.9","27","0.247","118.3"
"4306","201512140MEM","95","0.483","12.9","23.3","0.14","100","95","0.628","16.7","18.8","0.179","117.9"
"4307","201512140DAL","95.2","0.469","14.8","25","0.238","98.7","95.2","0.571","15.6","12.5","0.208","109.2"
"4308","201512140SAS","88.3","0.424","11.3","15.2","0.177","91.7","88.3","0.62","11.2","26.5","0.333","133.6"
"4309","201512140DEN","94.4","0.575","10.7","11.9","0.092","114.5","94.4","0.561","16.2","41.7","0.268","120.8"
"4310","201512140POR","96.6","0.488","8.7","11.1","0.256","104.5","96.6","0.512","13.8","21.7","0.272","108.7"
"4311","201512150BOS","88.2","0.513","14.5","17.1","0.115","100.9","88.2","0.374","9.7","23.1","0.138","87.3"
"4312","201512150MIN","87","0.63","14.2","32.3","0.274","128.8","87","0.494","9","25.6","0.312","115"
"4313","201512150SAC","104.7","0.488","18.6","15.6","0.207","92.6","104.7","0.58","24.2","23.7","0.267","102.2"
